,user_id,loc_id,rank
0,3,1388,1728.0
1,3,2003,213.0
2,3,2195,3749.0
3,3,2218,3085.0
4,3,2278,3094.0
5,3,2467,3664.0
6,13,3245,1363.0
7,21,739,37.0
8,21,829,126.0
9,21,829,126.0
10,21,833,1.0
11,21,833,1.0
12,21,833,1.0
13,21,833,1.0
14,21,833,1.0
15,21,833,1.0
16,21,833,1.0
17,21,833,1.0
18,21,833,1.0
19,21,833,1.0
20,21,833,1.0
21,21,833,1.0
22,21,833,1.0
23,21,833,1.0
24,21,833,1.0
25,21,833,1.0
26,21,833,1.0
27,21,837,7.0
28,21,837,7.0
29,21,839,2.0
30,21,839,2.0
31,21,839,2.0
32,21,839,2.0
33,21,839,2.0
34,21,841,24.0
35,21,850,8.0
36,21,850,8.0
37,21,1073,4061.0
38,21,1082,38.0
39,21,4533,7422.0
40,21,4562,377.0
41,21,6870,23.0
42,27,1664,4748.0
43,31,93,12.0
44,31,105,1314.0
45,31,139,2608.0
46,31,200,6235.0
47,31,610,396.0
48,31,745,835.0
49,31,829,13.0
50,31,857,365.0
51,31,862,721.0
52,31,967,2.0
53,31,967,2.0
54,31,967,2.0
55,31,969,90.0
56,31,992,100.0
57,31,1008,19.0
58,31,1031,136.0
59,31,1034,108.0
60,31,1095,231.0
61,31,1401,225.0
62,31,1425,408.0
63,31,1545,2983.0
64,31,1667,561.0
65,31,2187,4443.0
66,31,2261,1293.0
67,31,2842,4022.0
68,31,3344,1322.0
69,31,3392,4562.0
70,31,3416,959.0
71,31,3417,6244.0
72,31,3454,4480.0
73,31,3612,1632.0
74,31,4363,4050.0
75,31,6200,6033.0
76,31,6225,5295.0
77,31,6258,5337.0
78,33,162,10.0
79,33,162,10.0
80,33,174,2549.0
81,33,759,13.0
82,33,953,2.0
83,33,953,2.0
84,33,953,2.0
85,33,953,2.0
86,33,953,2.0
87,33,953,2.0
88,33,953,2.0
89,33,953,2.0
90,33,953,2.0
91,33,953,2.0
92,33,953,2.0
93,33,972,32.0
94,33,979,999.0
95,33,1057,9.0
96,33,1057,9.0
97,33,1057,9.0
98,33,1057,9.0
99,33,1057,9.0
100,33,1057,9.0
101,33,1057,9.0
102,33,1057,9.0
103,33,1058,7.0
104,33,1058,7.0
105,33,1098,11.0
106,33,1098,11.0
107,33,1098,11.0
108,33,1100,4.0
109,33,1102,21.0
110,33,1103,33.0
111,33,1117,369.0
112,33,1120,12.0
113,33,1124,23.0
114,33,1133,96.0
115,33,1212,72.0
116,33,1235,396.0
117,33,1276,148.0
118,33,1316,25.0
119,33,2018,215.0
120,33,2018,215.0
121,33,2684,488.0
122,33,3164,795.0
123,33,3394,141.0
124,33,3950,3969.0
125,33,4492,1835.0
126,33,6762,2143.0
127,33,6874,85.0
128,33,6874,85.0
129,36,857,179.0
130,36,1506,3649.0
131,36,1552,47.0
132,36,1883,1615.0
133,36,2698,412.0
134,36,3378,665.0
135,36,3505,394.0
136,36,4818,2470.0
137,36,4956,2752.0
138,36,6048,44.0
139,40,180,750.0
140,40,1396,7.0
141,40,1404,1.0
142,40,1404,1.0
143,40,1412,34.0
144,40,1567,9.0
145,40,1567,9.0
146,40,1602,1456.0
147,40,1697,1498.0
148,40,1702,758.0
149,40,2455,3289.0
150,40,3277,6448.0
151,40,4356,3744.0
152,40,6371,5950.0
153,40,6875,1703.0
154,40,6875,1703.0
155,42,765,1.0
156,42,765,1.0
157,42,1089,2.0
158,42,1089,2.0
159,42,1169,7.0
160,42,1169,7.0
161,42,2247,28.0
162,42,2247,28.0
163,42,6103,3008.0
164,42,6103,3008.0
165,42,6203,18.0
166,42,7062,2249.0
167,43,1642,28.0
168,43,3993,2636.0
169,46,0,43.0
170,46,19,4.0
171,46,93,2.0
172,46,118,626.0
173,46,1135,199.0
174,46,1266,3.0
175,46,2008,1.0
176,46,2008,1.0
177,46,2008,1.0
178,46,2008,1.0
179,46,2008,1.0
180,46,2008,1.0
181,46,2008,1.0
182,46,2008,1.0
183,46,3269,5421.0
184,46,3923,3512.0
185,46,5389,5232.0
186,46,6482,1225.0
187,46,6877,26.0
188,46,6878,24.0
189,46,6878,24.0
190,46,7028,410.0
191,46,7322,411.0
192,47,457,169.0
193,47,2967,1427.0
194,56,144,1.0
195,60,274,1.0
196,62,95,110.0
197,62,285,2700.0
198,62,1463,1563.0
199,62,4587,1628.0
200,62,4911,1960.0
201,63,2230,10.0
202,64,4179,3878.0
203,64,6100,6375.0
204,65,1486,44.0
205,66,19,1.0
206,66,19,1.0
207,66,19,1.0
208,66,19,1.0
209,66,100,1459.0
210,66,110,93.0
211,66,208,508.0
212,66,753,2132.0
213,66,852,10.0
214,66,1086,3.0
215,66,1086,3.0
216,66,1372,323.0
217,66,1390,846.0
218,66,1390,846.0
219,66,1577,4.0
220,66,1577,4.0
221,66,1584,13.0
222,66,1968,1227.0
223,66,2357,614.0
224,66,2387,612.0
225,66,2938,1937.0
226,66,2939,2272.0
227,66,3103,445.0
228,66,4053,4546.0
229,66,4503,4826.0
230,66,4648,3502.0
231,66,5181,5930.0
232,66,5256,4783.0
233,66,6325,6664.0
234,66,6359,1643.0
235,66,7314,6828.0
236,66,7333,5895.0
237,71,104,367.0
238,71,313,16.0
239,71,765,5.0
240,71,765,5.0
241,71,1091,7.0
242,71,1091,7.0
243,71,1134,1532.0
244,71,2110,35.0
245,71,2627,6.0
246,71,2627,6.0
247,71,2627,6.0
248,71,2627,6.0
249,71,2633,1.0
250,71,2633,1.0
251,71,2633,1.0
252,71,2633,1.0
253,71,6509,2947.0
254,74,93,1.0
255,74,1777,2295.0
256,74,1777,2295.0
257,74,2398,5034.0
258,74,3566,2739.0
259,74,4928,837.0
260,76,135,987.0
261,76,208,1.0
262,76,855,5954.0
263,76,864,33.0
264,76,864,33.0
265,76,864,33.0
266,76,864,33.0
267,76,864,33.0
268,76,960,16.0
269,76,1446,1527.0
270,76,2479,1602.0
271,76,3136,1936.0
272,76,3526,553.0
273,76,3637,4693.0
274,76,4758,6102.0
275,76,5537,4756.0
276,76,5949,7341.0
277,76,6885,65.0
278,76,6899,3110.0
279,76,6899,3110.0
280,76,7254,3844.0
281,77,852,3.0
282,77,962,16.0
283,77,1965,4316.0
284,77,2674,1224.0
285,77,2970,723.0
286,79,87,15.0
287,79,87,15.0
288,79,203,12.0
289,79,203,12.0
290,79,441,394.0
291,79,868,31.0
292,79,923,216.0
293,79,1077,103.0
294,79,1229,241.0
295,79,2731,84.0
296,79,2734,83.0
297,79,2735,11.0
298,79,2739,66.0
299,79,2787,64.0
300,79,2789,32.0
301,79,2791,222.0
302,79,2811,1195.0
