,user_id,loc_id,repeated,rank
0,1,14,1.0,18.0
1,1,14,1.0,18.0
2,1,15,1.0,26.0
3,1,43,1.0,19.0
4,1,50,1.0,50.0
5,1,3595,0.0,1092.0
6,2,64,1.0,1.0
7,2,64,1.0,1.0
8,2,64,1.0,1.0
9,2,64,1.0,1.0
10,2,64,1.0,1.0
11,2,64,1.0,1.0
12,2,64,1.0,1.0
13,2,64,1.0,1.0
14,2,64,1.0,1.0
15,2,64,1.0,1.0
16,2,64,1.0,1.0
17,2,998,0.0,174.0
18,2,1078,0.0,133.0
19,2,1078,0.0,133.0
20,2,2894,0.0,2410.0
21,3,91,1.0,1.0
22,3,91,1.0,1.0
23,4,97,1.0,1.0
24,11,530,0.0,988.0
25,13,121,1.0,5.0
26,13,125,1.0,1.0
27,20,219,1.0,1.0
28,20,219,1.0,1.0
29,20,237,1.0,9.0
30,20,245,1.0,10.0
31,20,490,0.0,277.0
32,21,267,1.0,23.0
33,21,288,1.0,13.0
34,21,304,1.0,21.0
35,23,4,1.0,1.0
36,25,4,1.0,1.0
37,25,90,1.0,2.0
38,25,90,1.0,2.0
39,25,90,1.0,2.0
40,25,90,1.0,2.0
41,29,329,1.0,1.0
42,32,335,1.0,2.0
43,32,335,1.0,2.0
44,32,335,1.0,2.0
45,32,335,1.0,2.0
46,32,335,1.0,2.0
47,32,335,1.0,2.0
48,32,335,1.0,2.0
49,32,335,1.0,2.0
50,32,335,1.0,2.0
51,32,335,1.0,2.0
52,32,336,1.0,1.0
53,32,336,1.0,1.0
54,32,336,1.0,1.0
55,32,336,1.0,1.0
56,32,336,1.0,1.0
57,32,336,1.0,1.0
58,32,336,1.0,1.0
59,32,336,1.0,1.0
60,32,336,1.0,1.0
61,32,336,1.0,1.0
62,34,126,1.0,1.0
63,34,126,1.0,1.0
64,35,346,1.0,7.0
65,45,402,1.0,1.0
66,45,408,1.0,4.0
67,45,2222,0.0,3835.0
68,45,2222,0.0,3835.0
69,47,441,1.0,10.0
70,49,1,1.0,2.0
71,49,63,0.0,29.0
72,49,262,1.0,3.0
