,user_id,loc_id,repeated,rank
0,1,63,1.0,1.0
1,1,63,1.0,1.0
2,1,63,1.0,1.0
3,1,63,1.0,1.0
4,1,63,1.0,1.0
5,1,63,1.0,1.0
6,1,63,1.0,1.0
7,1,63,1.0,1.0
8,1,63,1.0,1.0
9,1,63,1.0,1.0
10,1,63,1.0,1.0
11,1,63,1.0,1.0
12,1,63,1.0,1.0
13,1,64,1.0,3.0
14,1,64,1.0,3.0
15,1,64,1.0,3.0
16,1,64,1.0,3.0
17,1,64,1.0,3.0
18,1,64,1.0,3.0
19,1,64,1.0,3.0
20,1,64,1.0,3.0
21,1,64,1.0,3.0
22,1,64,1.0,3.0
23,1,64,1.0,3.0
24,1,64,1.0,3.0
25,1,64,1.0,3.0
26,1,64,1.0,3.0
27,1,64,1.0,3.0
28,1,64,1.0,3.0
29,1,64,1.0,3.0
30,1,64,1.0,3.0
31,1,65,1.0,5.0
32,1,65,1.0,5.0
33,1,67,1.0,17.0
34,1,68,1.0,4.0
35,1,68,1.0,4.0
36,1,69,1.0,9.0
37,1,71,1.0,28.0
38,1,75,1.0,41.0
39,1,77,1.0,29.0
40,1,85,1.0,24.0
41,1,85,1.0,24.0
42,1,87,1.0,6.0
43,1,87,1.0,6.0
44,1,95,1.0,21.0
45,1,102,1.0,15.0
46,1,109,1.0,68.0
47,1,189,0.0,143.0
48,1,243,0.0,150.0
49,1,395,0.0,284.0
50,1,748,0.0,238.0
51,1,748,0.0,238.0
52,1,1060,0.0,1452.0
53,1,1110,0.0,103.0
54,1,1143,0.0,189.0
55,1,1677,0.0,282.0
56,1,1680,1.0,50.0
57,1,1873,0.0,3629.0
58,1,2366,0.0,2560.0
59,1,2681,1.0,54.0
60,1,6306,0.0,3188.0
61,1,6306,0.0,3188.0
62,1,6852,0.0,5263.0
63,2,59,0.0,5.0
64,2,119,1.0,3.0
65,2,119,1.0,3.0
66,2,119,1.0,3.0
67,2,119,1.0,3.0
68,2,119,1.0,3.0
69,2,177,1.0,2.0
70,2,177,1.0,2.0
71,2,288,1.0,73.0
72,2,430,0.0,209.0
73,2,430,0.0,209.0
74,2,1307,0.0,29.0
75,2,2007,0.0,5498.0
76,2,3047,0.0,576.0
77,2,3350,0.0,1619.0
78,4,748,0.0,3480.0
79,4,1149,0.0,3845.0
80,5,1,1.0,34.0
81,5,59,0.0,10.0
82,5,65,1.0,1.0
83,5,65,1.0,1.0
84,5,65,1.0,1.0
85,5,328,1.0,41.0
86,5,448,1.0,64.0
87,5,530,1.0,37.0
88,5,530,1.0,37.0
89,5,600,1.0,3.0
90,5,600,1.0,3.0
91,5,600,1.0,3.0
92,5,606,0.0,247.0
93,5,612,1.0,20.0
94,5,612,1.0,20.0
95,5,707,1.0,122.0
96,5,707,1.0,122.0
97,5,947,1.0,44.0
98,5,973,1.0,55.0
99,5,1136,1.0,18.0
100,5,1136,1.0,18.0
101,5,1136,1.0,18.0
102,5,1136,1.0,18.0
103,5,1141,1.0,25.0
104,5,1145,1.0,24.0
105,5,1146,1.0,156.0
106,5,1164,1.0,12.0
107,5,1173,1.0,157.0
108,5,1186,0.0,78.0
109,5,1287,1.0,19.0
110,5,1299,0.0,202.0
111,5,1433,0.0,217.0
112,5,1654,1.0,65.0
113,5,1675,0.0,650.0
114,5,1996,0.0,1864.0
115,5,2455,0.0,943.0
116,5,2589,1.0,63.0
117,5,4878,0.0,2972.0
118,5,5661,0.0,2088.0
119,5,7133,1.0,183.0
120,5,7310,1.0,53.0
121,6,58,0.0,584.0
122,6,59,0.0,14.0
123,6,65,1.0,3.0
124,6,69,1.0,6.0
125,6,78,0.0,666.0
126,6,79,0.0,164.0
127,6,353,0.0,1724.0
128,6,457,1.0,1.0
129,6,457,1.0,1.0
130,6,472,1.0,20.0
131,6,473,0.0,179.0
132,6,589,1.0,22.0
133,6,619,1.0,59.0
134,6,619,1.0,59.0
135,6,1188,1.0,4.0
136,6,1210,1.0,24.0
137,6,1232,1.0,10.0
138,6,1366,0.0,525.0
139,6,1510,0.0,2207.0
140,6,1533,0.0,602.0
141,6,1627,1.0,50.0
142,6,2212,0.0,635.0
143,6,2746,0.0,2710.0
144,6,7358,0.0,690.0
145,8,15,0.0,453.0
146,8,23,0.0,290.0
147,8,42,1.0,48.0
148,8,65,1.0,1.0
149,8,69,1.0,8.0
150,8,69,1.0,8.0
151,8,156,0.0,1903.0
152,8,165,0.0,742.0
153,8,240,0.0,569.0
154,8,245,0.0,6843.0
155,8,248,0.0,355.0
156,8,253,0.0,1018.0
157,8,369,0.0,5751.0
158,8,374,1.0,5.0
159,8,374,1.0,5.0
160,8,374,1.0,5.0
161,8,378,1.0,51.0
162,8,383,1.0,102.0
163,8,594,1.0,39.0
164,8,606,1.0,19.0
165,8,624,1.0,81.0
166,8,711,0.0,438.0
167,8,819,0.0,2700.0
168,8,1110,1.0,73.0
169,8,1185,1.0,29.0
170,8,1192,0.0,948.0
171,8,1192,0.0,948.0
172,8,1202,1.0,45.0
173,8,1291,1.0,4.0
174,8,1291,1.0,4.0
175,8,1311,1.0,50.0
176,8,1319,1.0,3.0
177,8,1319,1.0,3.0
178,8,1326,1.0,57.0
179,8,1326,1.0,57.0
180,8,1349,1.0,34.0
181,8,1349,1.0,34.0
182,8,1349,1.0,34.0
183,8,1380,0.0,323.0
184,8,1382,0.0,292.0
185,8,1613,0.0,358.0
186,8,1618,0.0,283.0
187,8,1663,0.0,209.0
188,8,1673,0.0,778.0
189,8,1680,0.0,273.0
190,8,1682,1.0,111.0
